FEN,Next move
r1B1k1n1/p3pp2/8/1pqp4/PPpnP2p/8/R1Pb1KPP/1NB3NR w q - 2 21,b4c5
rnbqk1n1/3p4/pR1b1p1r/P1p1p1pp/8/2P3P1/1P1PPP1P/1NBQKBNR w Kq - 0 10,b6d6
rn2kb1r/p4pp1/2p5/PqPn3p/4p2P/7B/1P1PPP2/RNBQ1KRb b kq - 0 17,h1f3
rq3bnr/p2n1k1N/Bp4p1/4pp1p/1P2PP1P/P7/3P2P1/RNB1KbQR w KQ - 1 20,h7g5
r1bQ2nr/2pp1kpp/np6/pN2pp2/P3PP1P/b5P1/2PP4/R1B1KBNR w KQ - 1 14,f1c4
r1b2b1r/1p1p2k1/p5p1/n1p3qp/2PP1n2/2R4Q/PP1KP3/R1B2BN1 b - - 1 22,f4h3
rnb2bnr/p2kp1p1/2p2p2/1p1p3p/1P1P4/P3P1QN/R1P2PPP/1NBK1B1R w - - 0 10,e3e4
r3kb1r/1p2pp1p/2p3pB/p2p3n/1qP5/P1NP1P1b/1KQ1P1PP/R4BNR w kq - 5 15,a3b4
1n3r2/2p2pbp/1p1p1kp1/3bqn2/rp1BQ3/5KPN/7P/5N2 w - - 6 26,d4e5
rn1qk1r1/3pbp1p/b5p1/1pp2n2/2NPQpP1/P3P2N/RPP1B2P/2B1K2R b Kq - 1 16,d7d5
rnb1kb1r/pp1p1pp1/2p4n/2q4p/2Pp4/1PNQP3/P3NPPP/R1B1KB1R w KQkq - 0 8,e3d4
1n2k1nr/rBpp1N2/4p1pp/p5P1/pPP1P3/2KP1q1P/PB6/1R4NR w - - 1 25,g1f3
rn3bnr/p3k1p1/b1pp3p/1pP2p2/1P1Pqp2/P5P1/2R1P1BP/1NBQK1NR b - - 3 15,e4g2
rnbqk1r1/p2ppp1p/2B4b/2pnP3/6p1/1P3P1P/P1PP2PR/RNBQ1KN1 w q - 0 13,c6d5
1rb1kbnr/pp5p/2p4B/1P1p1pp1/R2Pp1P1/q4PR1/P3P2P/3QKB2 b k - 0 22,a3c3
1n2kbn1/6p1/r6r/p1pppp1p/PpP1P2q/2NP2P1/4NP2/R1BK1B1R b - - 1 16,h4h1
rqb2bnk/p2pp1pr/8/1p3pNp/Pn1P1P2/3K4/R3P1PP/1NBQ1B1R w - - 0 21,d3d2
2bq1rk1/2np1p1p/r5p1/pp6/2P1n3/P1pB2PN/P3QPRP/R4K2 w - - 1 19,d3e4
rn4nr/pbk4p/q7/1p2p3/P5P1/1PP2p2/3PP3/2BQKB2 w - - 0 20,e2f3
rn2kr2/pb1p1p2/3Qp1pp/1pp4n/1BPP3q/b1K1P3/1P3P2/R1N2BNR b - - 3 21,a3b4
r1bqk2r/ppp2ppp/n3p3/1P6/4p1n1/b4P1N/P1PP2PP/1RBQKB1R w Kkq - 0 8,c1a3
1rbqkb1r/ppppp1p1/1n3p1p/2P5/P7/3QPN2/1P1P1PPP/RNB1KBR1 w Qk - 2 10,d3g6
1n2kbn1/5p2/1Nb1qr2/2P3p1/1P1p2Pp/7P/P1P1PP1R/B1R1K1N1 w - - 0 22,a1d4
rnb1nbr1/2qp1k2/1p6/p1pN3p/P5p1/3R1PRP/1PPPPK2/2BQ1B2 w - - 7 21,d5c7
r1b1k1nr/ppqnppb1/2p5/3p2pp/P1PPP3/5B1N/1P3PPP/RNBQK2R w KQkq - 2 8,h3g5
r1bqk1nr/pp1pp2p/2n2ppb/2p4P/8/P4N2/1PPPPPP1/RNBQKBR1 b Qkq - 2 6,d7d5
r1b1kbnr/ppnp1pp1/2p5/4P2p/PP2P3/2P5/2RBB1PP/1N1QK1NR b Kkq - 0 12,d7d5
rnb1kb2/p2p1pp1/1qp4r/1p2p3/7p/P1N2PPP/1PPPK2R/R1Bn1BN1 w q - 0 12,c3d1
1rb1kb1r/ppp1ppn1/3qn1pp/3pN3/3P1P1P/NPP1P3/PB4P1/R2QKB1R w KQk - 4 12,c3c4
rnb1kbnr/pp2p3/5p2/2pp2pp/2P2N2/Pq2P3/1PQP1PPP/RNB1KB1R w KQkq - 0 8,c2b3
1rbk3r/p3bp1p/nppp3n/2P2qp1/1PBPp3/4P3/PB1NQPPP/R4KNR w - - 0 19,c4a6
1nb1kb1r/rpp1qpp1/p3pn1p/P2p4/2PP4/RQ3N2/1P2PPPP/1NB1KB1R b Kk - 0 8,d5c4
1r1q1b1r/2pkpp2/1pn3pB/pP1p3b/P1QPn3/N1P2N1P/4PPP1/R2K1B1R w - - 2 13,c4d5
1Qb1k1nr/1p1p4/r6p/3PppN1/pbp3PP/PPP5/5P2/RNB1KB1R b KQk - 0 18,g8e7
rn4nr/3pkpp1/b1p1pq2/pBb3Pp/4P3/1P4RN/P1PP1P1P/RNBQK3 b Q - 0 11,f6a1
1q3bn1/p1rbp1pr/n1k3p1/1pppB2p/4NPPP/P2PP3/2PQ4/2R1K1NR b - - 8 22,d5e4
rn4kr/p2b1ppp/pP2Qq2/2ppP3/4P3/P1P4P/1B1P2P1/RN2K1NR b - - 0 24,f6h4
2r1k1nB/1p2p1br/np4pp/5b2/1Ppp4/2PPPPP1/P3K2P/R2Q1B1R w - - 3 23,h8g7
2bk1b1r/r3p3/n1pp1ppp/p1q4n/3PPP2/PPN1Q1P1/3B3P/R3KBNR w KQ - 3 21,d4c5
r3kbnr/p2P1n1p/1q1p1p2/1p6/1pP3pP/4P1P1/P2PQ1BR/2BRK1N1 b kq - 0 22,e8d7
r1bqkb1r/1pppp3/2n2n2/p4p2/P3P1pp/1PPP3P/R1Q2PP1/1NB1KBNR w Kkq - 0 11,e4f5
rnb1kbnr/1pp2ppp/B2pp3/p1q5/4P3/5P1N/PPPPQRPP/RNB1K3 b Qkq - 7 7,a8a6
rnbq2nr/1pp1kp2/4p2p/p1P3p1/1P1p4/P3B2P/2PNPPP1/R1Q1KBNR w KQ - 0 10,e3d4
rnbqk1n1/pp1p3r/4pp1b/2p1P1Np/1PP2P2/6P1/P2P1K1P/RNBQ1B1R w q - 0 10,d1h5
r1bk1bnr/1p2p3/p1qp3p/2p3p1/P1P1pBQP/5NP1/1PPK1P2/RN3B1R b - - 2 15,c8g4
2rqkbnr/2p1pN1p/p1np2p1/1P6/2PPP1bP/R4PP1/1P6/1NBQKB1R b Kk - 2 12,e8f7
rnbQqr2/5p1k/pp1pp2p/2pN2pn/1PPP3P/B3P1P1/P2K1P2/1R3BR1 b - - 0 20,e8d8
5bnr/pbrk4/1pQ2p1p/4p2K/N1p2P2/P3P2N/1P1P2PP/R1B2B1R b - - 2 22,b7c6
rn1k1bn1/p2pppr1/b6p/4q2p/3pPP1P/pPPP2PR/P3K3/R1B2B2 w - - 1 20,f4e5
rn2kbr1/1p2pppb/1P1p1n1p/p1p4P/P4R2/3q1P2/3Q2P1/RNB1KBN1 b Qq - 1 19,d3d2
r3kbnr/p1pqpp1p/1pnpb1p1/8/1P1P1P2/2N1B2N/P1P1P1PP/2RQKB1R b K - 1 10,e6h3
rn3rk1/p3pp2/2bn3b/1p3q1p/1P5N/B3P1P1/P1PQ1P1P/3RKB1R w K - 2 18,h4f5
rnb1k1n1/ppppb1p1/2r5/4P2p/6pR/PP2P3/3P4/RNBQKBN1 w Qq - 0 12,h4h5
rn2k1nr/p3bp2/1pp3q1/P3P2p/2N1P2N/1P1Pp1Pb/2P1KR2/2RQ1B2 w kq - 6 23,h4g6
r2qkbnr/2p2bpp/3p1p2/pp2P3/Pn1Q4/4PNBP/1PP2PP1/RN2KB1R w KQkq - 0 10,f1b5
rnb1kb1r/pp1pp1p1/B4n2/q1p2P1p/2PP4/N5P1/PP3P1P/R1BQK1NR w KQkq - 5 10,c1d2
1nq1k1n1/4p2r/Ppp5/p1Pp1pp1/P1Nb1B1p/5PP1/4PN1P/R2QKb1R b - - 1 20,d4c5
2rqkbn1/p1p2pr1/1p1p1n1p/P5p1/b2Pp3/1PPQ3P/4PPP1/R3KBNR w - - 3 20,d3a6
r1bqk1nr/np2pp1p/6p1/p1pp4/3QP3/5P1P/PbPP2P1/RNB1KBNR w KQkq - 1 9,d4b2
r7/pp3k1p/3pr3/1RPbp1p1/4P2P/5P2/P2PN3/2B1K2R w - - 3 25,e4d5
rnbk2nr/ppp2ppp/5q2/8/B3p3/2N3P1/1bPPPP1P/R1BQK1NR b K - 1 8,b2a1
1n1kq2B/5pbp/3p4/rpPbP1p1/1P5P/p3n3/PR1NPR2/3QKBN1 w - - 3 24,b2b1
1n1qbbr1/r3kpp1/p7/Pppp2N1/4Pp2/1Q1PnB2/1P5P/R1B1KN1R w K - 1 23,f1e3
rnbqkbnr/2p1p2p/p7/3p1pp1/PPp5/2P2P2/3PP1PP/RNB1KBNR w KQkq - 0 8,b1a3
4kbnr/r1pb4/3qp2p/3Q1pP1/P1n3P1/2P1PN1R/P2P1P2/R1BK1B2 w k - 1 19,d5c4
rn2kb1r/1ppqnppp/8/pN1pp1N1/5Pb1/8/PPPPP1PP/R1BQKBR1 w Qkq - 4 7,h2h3
r4k1r/3bp1bp/5p1n/1Q4B1/2p1P1PP/q1PP3B/1P3P2/1R2K1NR w - - 6 26,b2a3
3r1knr/1b1nbppp/2p5/Pp1p2B1/P3qQP1/R1P4P/4NP2/1N2KBR1 w - - 0 20,g5e7
1nbqk1nr/1ppp1p1p/r7/p3P1p1/6P1/bPN2P2/P1PBPK1P/R2Q1BNR b - - 5 12,h7h5
2b1k2r/1pp1n1pN/2rpp3/p3qp1P/PnP1PP1P/1PP1KQ2/2B5/RNB4R b k - 4 18,b4c2
1nbqkb1r/r1ppppp1/5n1p/8/Ppp1PPP1/8/3P3P/RNBQKBNR w KQ - 1 10,e4e5
r3kbn1/6pr/ppppb2p/6P1/R2pN3/3KP3/1PPQ1PBq/2B4R b - - 0 23,h2g2
rn1qk1n1/1pp1p2r/p4ppb/3pNbQP/3P4/4P2R/PPP1BPP1/RNB1K3 w Qq - 4 15,g5g3
r2q3r/Qppbk1pp/n2p3n/5pb1/1PN2PP1/3B3N/P1P4P/1RBK3R b - - 0 14,a8a7
rnbqk1r1/p1ppppbp/1Q6/6P1/2P5/N7/PP1nPPP1/R1B1KBNR b KQ - 0 10,a7b6
r2kqb1r/pbp2p2/3pp2p/Pp3n2/1P1P2pP/R2P1PPR/3BP3/1NQK1BN1 w - - 0 20,f3g4
1r3bnr/4pk2/1pp2p2/p5pp/1q1P3B/1P3P1P/P3NK1P/R2N3R w - - 0 25,h4g3
r1b1k1n1/1pqpbppr/n7/P1p1p2p/3P1P2/6KP/P1P1PQP1/RNB2BNR w q - 3 12,d4e5
r1bqkb2/ppppn2p/N3p3/4npr1/6QP/3BP3/PPPP1PP1/1RB1K2R w Kq - 4 13,g4g5
r1bqkb1r/2p1pp1p/1n5n/pp1p4/NN4p1/1QP4P/PP1PPPP1/R1B1KBR1 b Qkq - 4 10,b5a4
r1b1k2r/1ppn4/3bp3/p5Np/P2q1Ppp/RPP2P2/6BR/QNB2K2 b kq - 0 19,d4d1
1nbq4/2p2p1p/rp2knr1/p2pp1B1/2PP3P/bPN2PP1/P3P2R/1R2KBN1 w - - 2 19,d4e5
r1q1k1r1/p3Bp2/2ppP1Nb/7p/1p2P1nP/NPP2PQR/R1K3P1/5B2 b - - 2 24,g4e3
1nbq1b2/rp1kpr2/p6n/1N1PQp1p/P4P1P/R1P3PN/1PP5/2B1KB1R b K - 4 17,a6b5
rn1qkb1r/p1pppp2/bp5n/P5pp/2PP2PP/R4P2/1P1BP3/1N1QKBNR b Kq - 4 10,g5h4
1rbqkb1r/p1p2ppp/1pn1Q2n/4P1B1/PP1p4/3P1P2/2PKB1PP/RN4NR b k - 0 13,c8e6
4kb1r/r3p1Bp/b4qP1/pNpp1P1Q/n2P4/1P1B3P/P1PK1P2/R3N2R b - - 0 25,f8g7
rnbk2n1/3p1p2/1q5r/p1p1pQP1/p1P1B3/2N1P2P/RP1b2PR/2BK2N1 b - - 0 17,d2c3
2bk1b1r/r2pq3/1p2N1p1/3R1pN1/P2n3p/3PB3/2P1PP1P/3QKB1R b K - 0 17,d4e6
rn1q1br1/p2kp1pp/5nb1/1P1p4/PB1P1p2/2Q4P/2P1PPP1/RN2KB1R b KQ - 0 17,f6e4
1r3nnr/1qp2p1b/1p3b1B/p2kPP2/2B3P1/1K2P3/PPP4P/R1Q3R1 b - - 4 25,d5c5
bn3b2/r2p1k1r/5pp1/1pB4p/P2NQPn1/RP4P1/2PK3P/1NR5 b - - 3 23,a8e4
r1b1k2r/3nqpb1/pP5p/1Npp1PpP/3p3P/1Q2B3/1PP1PNR1/2R1KB2 b kq - 0 24,a6b5
rn3b1r/1pp1nkp1/1N1p2qp/p3P3/1P3p1P/3P2P1/PBQKP3/R4BR1 w - - 3 17,b6a8
2r1kbBr/3nqpp1/p1N5/P3p2p/1pPp2P1/3Pnb2/1P2P2P/4K1NR b K - 3 24,f3c6
r1b1kbnr/3p3p/4p1p1/p2qnPQ1/1pp1PP1P/P2B4/1PPP4/RNB1K1NR b KQkq - 1 17,e5d3
2q2bnr/rpp1pkpp/p3bp2/3p4/3B4/P6P/1PP1PPPR/RN1QKBN1 w Q - 1 10,d4a7
rnbk1b1r/1p1p1p1p/6p1/p4P2/1Pp1pP2/3PP3/P1PNQ2P/R1B2KNR w - - 0 13,c1b2
1nb3nr/4kqpp/r2Q1b2/Ppp2p2/6PN/P2P1P1B/RBP1P2P/1N3K1R b - - 2 20,a6d6
rn1k1br1/4pp1p/2pN1n1p/4PP2/pp2B3/1P2K1P1/P1PQb2P/R5NR b - - 0 18,e7d6
r1b3nr/3p2q1/pp1bk3/4p2p/1pP1pPpP/2B1P3/PN2K1P1/RN3B1R w - - 0 26,f4f5
1n2kb1r/1r5p/q1p1b3/pp1ppnp1/2B3P1/N2PpP1N/PBP1K2P/1R3R1Q b k - 0 20,h8g8
r3k2r/4nqbp/b1ppp1p1/1p1P4/P3PpPP/2pK1P2/3B3R/RN1B2N1 w k - 5 25,d2c3
rn1q3r/1b2p1bp/ppp1k3/2Pp1p2/5Pp1/NP4nP/PB1PP1K1/1R3BNR w - - 0 21,b2g7
rn3knr/p1p1ppb1/8/1p1b2pp/1PQp1Pq1/2PPP2N/P4KPP/RNB2B1R w - - 5 16,c4d5
rnBn3r/2p2q1k/3p2p1/4pp2/2P4P/PQ1P2P1/1P1NPP1R/2R1K1N1 b - - 0 21,b8c6
1n1rk1nr/1ppqpp1p/5b2/pbP5/P2Pp3/N3B1Q1/1P3PPP/R3K2R b Qk - 1 18,b5d3
rnb2b1r/p2pkppp/4p2n/1pp4B/1P3B2/3PP3/P4PPP/RN1QK1NR w KQ - 0 12,b4c5
rn1k2nr/p1pp2p1/b2bp2p/1p4q1/1P1P1pP1/P1N4P/2PQPP1R/1RB1KBN1 w - - 1 11,f1g2
rnb1kbnr/1ppqpp2/3p3p/p2P2p1/6Q1/N1P5/PP2PPPP/1RB1KBNR b Kkq - 3 7,d7g4
rn2k2r/1b1p1p2/pp3n1p/1Pp1pp2/2K1P3/N1bB2PN/P1PP1P1P/R1B3R1 w kq c6 0 18,c4c3
rn3k1r/1b6/2pb1p2/p3pnpB/1N1Q1P2/6P1/PPP1PK1P/1RB3NR b - - 0 19,f5d4
2bq2nr/2p1pk2/R1np2p1/p1P2pb1/1R2P3/5PPp/1P1PK2P/1NBQ1BNR b - - 3 14,c8a6
rn1q2nr/2pBbppp/1pk5/p6Q/P2pP3/3P4/1PP2PPP/RNB1K1NR b - - 1 12,d8d7
r1bqkb1r/p1p5/4pnp1/1pnpNpQ1/1P2PP2/B1NB4/P1PP2PP/R3KR2 w Qq - 0 14,g5g6
rnk5/2p1p1b1/bq1r1pp1/1p4Pp/4PP1P/1PN2Q2/PBP4R/2R1K1N1 b - - 3 24,b6g1
rnb1q2r/1pppkppp/1Q2p2n/p1PP4/1b3B2/2N5/PP2PPPP/R3KBNR b KQ - 0 8,c7b6
r1bqk1nr/p1ppb1pp/2n1p3/1p3p2/P2P4/4B3/1PP1PPPP/RN1QKBNR w KQkq - 3 6,a4b5
rnbq1k1r/1p2pp1p/p1p3pb/2P5/3P2n1/1P6/P3PPKP/RNBQ2NR b - - 0 9,h6c1
1n1k1b1r/r3ppp1/2q5/pp1p2pn/P2P1N2/3b1P1P/1P2P2K/1RB2BNR w - - 2 25,f4d3
5qk1/1rp2p1p/p3Br1b/3pp1pP/P1PnP3/5P1P/2QN4/R1BK2NR b - - 0 25,d4c2
r1bqkbnr/p1pppp1p/n7/1p4p1/2PP1P2/PQ6/1P2P1PP/RNB1KBNR w KQkq - 2 6,c4b5
r4k1r/p2ppp2/2qQ3n/2n2B2/1Pp1P1p1/P1P1B1P1/5P1P/RN2K1Nb w Q - 1 17,d6c5
1n1q1k1r/r2b4/1pBb1n1p/p3pp1R/1PPP2P1/P4PP1/1B2P3/RN1K2N1 b - - 1 22,b8c6
rn1qk2r/pbpp1p1p/1p2p2B/8/Pb1P2pP/6P1/1PP1PP2/RN1QKBNR w Qkq - 1 9,c2c3
rnbqk1r1/pppp3p/1b5n/3Pppp1/3QP3/4B1PN/PPP2P1P/RN2KB1R w KQq - 3 8,d4e5
rB1qkbnr/p2b2p1/Q3pp2/1p2P2p/3p2P1/1P3P1P/P1PPK3/3n1BNR b - - 1 18,d8b8
1nb1k2r/r1pp1ppp/pp1P1n2/4p3/P3P3/N4q2/RP1P1PPP/2BQKBNR b Kk - 2 9,f3d1
rn3bnr/1b1p1pp1/p1p3k1/1P6/P1Rq2pP/RP2P3/4QP2/1NB1KBN1 b - - 2 20,d4d5
r1bk1b1r/1p5p/1P4pn/p1p1pp2/P1Np1Pq1/2PP2RP/1B2P3/R2K1B2 b - - 1 23,g4g3
r1k2bn1/ppp2ppr/n6p/2PpP3/qP2P2P/P2P1b2/R2QN1P1/1N1K1B1R w - - 1 25,a2c2
2bk2nr/r2n1ppp/1pQppb2/p1p5/2PP4/P4PPN/1P1NK2R/R1B2B2 w - - 2 20,c6d6
rn2kbnr/4p2p/4qp2/1p1p2N1/Ppbp2p1/1P1QPP2/2PK2PP/1N1R1BR1 w kq - 0 19,g5e6
r4bn1/3b1k2/2ppp2B/1p1Bq2p/p2P3P/P4PQ1/1PP3K1/RN4NR b - - 0 22,e5g3
rnb2bnr/1pk1p3/3p4/p1p2pp1/P1P4p/1P2QNP1/3PBPKP/qNB4R b - - 0 21,h4h3
2b1r1r1/1ppkbp1p/B5P1/p2pP3/P3PB1q/N3Q1nN/1PP2KPP/R6R w - - 3 19,h2g3
r1bq3r/p1pknp2/2np4/1p5p/1b1p2P1/2N2QBB/P1P1P2P/R3K1NR w KQ - 4 17,e1c1
rn3b1r/p2b2p1/1ppk1p2/3pp3/2qPP2B/5Pn1/PP1N3P/RQ2KB1R w KQ - 2 21,d2c4
r1bqkbnr/1pp1p3/2n3pp/p2p1pB1/2PP4/N4N2/PP2PPPP/1R1QKB1R b Kkq - 1 8,h6g5
r3q1n1/pbp3b1/2n1kp2/1p1pp1pr/1PB1P3/P2P1P1N/NBP4P/1R2QK1R w - - 7 26,c4d5
rn3r2/p1pqkp1p/3p3n/1p1P1bp1/1PPKp3/b3B2N/QN2PPPP/R4B1R b - - 6 15,a3b4
1n2k1nr/r1pb3p/1p1pp1pb/p1q2p2/1NPPPP2/PP6/6PP/RNBQKBR1 w Qk - 3 16,d4c5
rB1qk1nr/p6N/Q6b/1bpp4/1p3pP1/1PP1PP1N/P2P3P/3RK2R w K - 0 23,a6b5
1nbk1bnN/r2pp3/5p2/pp5p/P2P3R/2P1P1PB/R1PBKP2/1N1Q4 b - - 1 20,f6f5
2bqkb1r/1ppp4/4rp1n/p3pPp1/Pn2P2p/2NB4/RPPP1KPP/2BQ2NR b - - 1 17,f8c5
3qk1nr/1ppb1pP1/3bp2p/p2p2P1/1r1PP3/P6P/1PPKB3/1RBQ2NR w - - 1 18,g7h8q
rq2k1n1/1pp1p1br/5pp1/np5p/2P1p2P/4PP1N/P2QB1P1/RNK4R w q - 0 17,c1c2
2nrkbnr/2B1pp1p/3p4/3B4/P1bPP1pN/R1p2N1P/5PP1/1Q2K1R1 w k - 0 22,d5c6
r1b1kb2/3pppr1/8/1pn1P3/p1BPn2p/PP2Q1PP/4KP2/RN4NR b - - 2 23,b5c4
rnb1kbr1/p2pp1p1/1q3p2/1ppn2Np/2PP3P/4P3/PP2KPP1/R1BQ1BNR w q - 0 11,c4d5
rnbq1b1r/p1Npnkp1/1p6/Q4p1p/2P1p3/P2P4/1P2PPPP/R1B1KBNR b KQ - 1 8,b6a5
r1bqk2r/ppp2pp1/B2pp2p/2b1P3/6n1/2N4N/1PPP1PPP/R1BQ1KR1 w kq - 1 9,d1g4
rn5r/pb1p1k2/1p2pn2/2pq2pp/1PBP3P/N1P2pP1/P3QK2/R1B2R2 w - - 2 23,c4d5
3qk3/1b5r/1p1ppp2/r1p2Pp1/2P2PP1/P2P4/1P1bK1R1/R1BN1BN1 b - - 0 21,d2c1
r1b3nr/pp1np2p/Qqp1kpp1/3p4/6P1/PPP1b3/3P1PBP/RNB1K1NR b KQ - 1 13,e3f2
r1bqkbnr/pp1ppp2/n5p1/2p4p/PP4P1/B4P1N/N1PPP2P/R2QKB1R b KQkq - 1 8,e7e5
r1qk1b1r/1bpBpp1p/2n2n2/p5p1/1P2P3/B1N2P1P/P1PPQ1P1/R3K1NR b KQ - 2 11,f6d7
rn2kb1n/p2b1ppr/2Bp4/2P1p1NP/PP2P3/3Q1PpR/2P5/R1B1K3 b Qq - 0 22,b8c6
rnb2bnr/3pp3/4k3/ppp3P1/1q2pP2/N1P3p1/PP1PKN1R/RQBB4 b - - 1 21,h8h2
2bq2nr/2pk2b1/2n2pQ1/rpPpp2p/3PN1P1/Pp2P2P/R4KPR/2B2BN1 b - - 1 17,d8f8
1rb1kbnr/p1p1pp1p/np4pq/3pP3/8/3P3P/PPP2PP1/RNBQ1KNR w k - 0 9,c1h6
3rk2r/Bb3ppp/2P3n1/2bpp1q1/1pn3P1/PP5P/RQ2PP1N/1N2KB1R b Kk - 3 16,c4b2
rR1q1b1r/4pkpp/5p2/p1pp1b2/P7/NPP2PPn/3PP2P/2BQKBR1 b - - 0 15,a8b8
r1bqk2r/2pp1ppp/n6n/1pb5/pQP1p1P1/4P2N/PP1P1P1P/RNB1KB1R w KQkq - 0 9,b4c3
rn2r3/3k4/p4pn1/1PPp1pp1/8/2b3PB/3P2NP/RNBK3R w - - 2 23,h3f5
rn1Q1b2/1p2pkpr/5p1n/p4q1p/PP1Np2P/1bP2P1R/6P1/1RBNKB2 w - - 0 26,d4f5
r2q2nr/p3kp1p/2ppp2n/8/PQ2P1p1/1N3P2/R1P3PP/2B1KbNR w K - 0 17,e1f1
r1b2rk1/pp1p1Q2/n3q2p/2p1p3/P3P1p1/3P2PP/P1P2P2/R1B1N1KR b - - 0 21,e6f7
rnbqkbnr/2ppp1pp/pp3p2/4P3/1P4P1/8/P1PPBP1P/RNBQK1NR w KQkq - 0 6,e2f3
1nbrk3/7p/rp2N1pn/2pp1p2/qPP2b2/P2PPPP1/R6P/1NB1K2R b K - 0 23,c8e6
rn2k1nr/1pp2p1p/p2p3b/1b2pP2/1PPP3q/B4pPB/P1Q1P2P/RN2K2R w KQkq - 0 11,g3h4
2r1kb1r/1pp2p2/5p2/p2Pq1pp/Pn1Pb2P/NP3PP1/3KP3/R1Q2BNR w - - 0 20,d4e5
4kn2/p3bp2/bqr4p/1p1pQ3/2NPnPrp/2P2NR1/PP6/R1BBK3 b Q - 0 22,d5c4
r1bk4/1pqp1p2/2n2n1r/4p1P1/pP4p1/P1PpP1NN/7P/1RBQKBb1 b - - 2 20,g1h2
r2qk1nr/p1p1np1p/7b/1p1b2p1/PP1ppPP1/3PP2N/2PK3P/RNBQ1B1R w - - 1 15,f4g5
3qkb1r/rb1ppppp/5nQ1/ppp5/1n1P1P2/4P2N/P1PB1KPP/RN3B1R b k - 1 10,h7g6
rn1qkbn1/pppbp2r/3p3p/5pp1/1P1PP1P1/2N5/P1P1QP1P/R1B1KBNR w KQq - 3 7,g4f5
1r2k1n1/ppp2pq1/n7/1r4bp/PPpPpp2/N1B4N/2P1P2P/1R2KB1b w - - 9 26,a4b5
rn2k2B/Np1bp1b1/2p2ppp/1q5n/pP2pPP1/PB6/1QPP3P/R3K1NR w q - 4 22,a7b5
1rbk1b2/ppq2n1r/3p1p2/1P2N3/4P1p1/N5K1/P1Pp3P/R1BQ2R1 w - - 0 21,e5f7
r1bqk1nr/pppppp1p/2n5/6p1/4B1P1/2b1P3/PPPP1P1P/RNBQK1NR w KQkq - 3 7,b1c3
rn2k2r/1b5p/2p1pbp1/p4pn1/3pPP2/PB3N1P/1PQPK1P1/RNB3R1 b - - 2 24,f5e4
1n5r/rqppkb1p/1p3p2/p2Bn3/Pb1PPP2/1P5P/4Q1P1/R1B2KNR w - - 0 24,d5b7
r1k3nr/p1pnppp1/4N3/1p1q4/2Bp2b1/1P2PPP1/PBPP3P/RN1QK2R w Q - 3 14,c4d5
r1b1k1nr/pp1nb2p/6p1/1N1ppp2/P2P4/4qPPN/2P1PB1P/R1Q1KB1R w KQk - 2 17,f2e3
r1qr2k1/4bppp/2p1P3/p7/1pPpnKN1/PP1PP1PP/7R/R1B3N1 b - - 1 25,e4g5
rnbqk1nr/p1ppp1b1/1p3pp1/5P1p/P5P1/4P2N/1PPP3P/RNBQKB1R b KQkq - 1 6,c8b7
rnbqkb1r/1pppp3/8/p4ppp/3PNP1P/8/PPPBPnP1/R2QKBNR w KQkq - 0 8,e4f2
rkb2bnr/pp1p1ppp/8/4p3/2P1P3/1Q3N2/PP1P1PPP/R1B2K1R w - - 2 14,f3e5
r4bnr/p1k1p2p/np1q4/2p2pp1/PP2PN2/6PN/2PP1P1P/1RBQKBR1 w - - 0 13,f4d5
rn1qkbnr/p3pppp/3p4/1p6/3PP1b1/4B1PN/1PP2P1P/Rn2KQ1R w KQkq - 0 10,a1b1
rn2kb1r/p2pp1p1/bPp5/2q2p1p/1P1Pn1P1/2B2P2/P3P2P/RN2KBNR w KQkq - 1 16,b4c5
r1b1kb2/pp4r1/2nq1nP1/2p1pp2/P1p1P1p1/NP1P3P/2P1NKP1/1RB2R2 w q - 3 25,a3c4
rnNk1b1r/3p1p1p/p1p1p2n/8/1p4p1/3P1Q2/qPP1PPPP/1RB1KBNR b - - 1 15,g4f3
3rk2r/1qnppp1p/pp3P1n/PbP3N1/4P1p1/N5P1/RPPB2BP/Q3K2R w Kk - 3 23,c2c4
rn2kb1r/2p1p2p/2P1b1Pn/pp1p2q1/3P2P1/1PQ1Bp1P/P3P3/RN2KBNR w KQkq - 2 17,e3g5
rn1q2kr/p1p1b1pp/N2p1p2/1p2pK2/1Pb1P1P1/B1P2P1N/P2P2BP/4R1QR b - - 0 20,g7g6
1r1q1b1r/1p1k1p1p/4p3/3pPnp1/pPp2P2/2N3PN/P1PBPK1P/R1Q4R b - - 2 15,g5g4
rnb1kb2/1p1pp2p/p4pr1/2Bn2p1/PP5P/2pP1N2/2P1PPP1/RNQ1KB1R b KQq - 1 13,g5g4
rnb1kbnr/2pqppp1/pp6/8/3pP3/N1PP1Q2/PP3PPP/R1B1K1NR b KQkq - 2 11,b8c6
1r3bn1/pp1bpk1r/1P2p2p/1NBp2p1/P6P/1nN2PQ1/2PPK3/R4B1q w - - 3 23,b6a7
1nbqk1r1/2rpp1bp/1pp2p1n/6pP/2P5/7N/1PNPPPP1/R1BQKB1R b KQ - 2 14,d7d5
r1bqkb1r/pppp1p2/n4n2/5P1p/4p1p1/PPP1P1PP/3P4/RNBQKBNR b KQkq - 0 8,f8d6
r3kqr1/p1pp1ppp/n2bP2B/5Rn1/2bP4/1pP5/1P1KB2P/1NQ5 w q - 6 22,e6f7
